,busID,ProximaParada,Ruta,Orientacion,rangoHora,tiempoRecorrido
8535,4032,266,2575,1.0,23.5,94.0
8536,4032,266,2575,1.0,1.0,63.0
8537,4032,266,2575,1.0,2.0,67.0
8538,4032,266,2575,1.0,9.0,93.0
8539,2710,200,2020,0.0,20.0,63.0
8540,4832,5,888,0.0,19.0,0.0
8541,4832,5,888,0.0,21.5,31.0
8542,4502,274,3146,0.0,11.5,0.0
8543,4502,274,3146,0.0,17.0,0.0
8544,4502,274,3146,0.0,19.0,33.0
8545,4718,90,77,1.0,18.5,31.0
8546,4718,90,77,1.0,20.5,0.0
8547,9366,166,3195,1.0,19.0,62.0
8548,3658,258,3049,0.0,18.0,33.0
8549,3658,258,3049,0.0,22.0,0.0
8550,3658,258,3049,0.0,10.0,32.0
8551,665,51,849,0.0,1.0,0.0
8552,665,51,849,0.0,3.5,63.0
8553,665,51,849,0.0,6.0,64.0
8554,665,51,849,0.0,8.5,64.0
8555,665,51,849,0.0,10.5,0.0
8556,4647,279,2937,0.0,20.5,31.0
8557,4647,279,2937,0.0,0.0,0.0
8558,6558,159,2490,0.0,3.5,159.0
8559,631,264,2842,0.0,17.0,0.0
8560,631,264,2842,0.0,19.0,156.0
8561,2475,214,1516,1.0,4.5,63.0
8562,5195,27,1088,1.0,11.0,33.0
8563,5107,13,1329,0.0,5.0,93.0
8564,5107,13,1329,0.0,6.5,63.0
8565,273,58,1934,0.0,11.0,31.0
8566,273,58,1934,0.0,19.0,158.0
8567,273,58,1934,0.0,22.5,128.0
8568,273,58,1934,0.0,1.0,32.0
8569,273,58,1934,0.0,4.5,96.0
8570,273,58,1934,0.0,7.5,66.0
8571,6395,105,1631,0.0,20.5,0.0
8572,6395,105,1631,0.0,6.5,0.0
8573,234,1,1478,0.0,19.5,95.0
8574,234,1,1478,0.0,21.5,0.0
8575,234,1,1478,0.0,0.0,31.0
8576,234,1,1478,0.0,2.5,0.0
8577,234,1,1478,0.0,5.0,64.0
8578,9002,271,2916,1.0,18.5,0.0
8579,9002,271,2916,1.0,20.5,0.0
8580,6682,99,2039,1.0,18.5,63.0
8581,6682,99,2039,1.0,21.5,94.0
8582,6682,99,2039,1.0,1.0,250.0
8583,6796,140,980,1.0,11.0,31.0
8584,6796,140,980,1.0,12.0,63.0
8585,9019,260,2773,1.0,5.0,0.0
8586,9019,260,2773,1.0,6.5,0.0
8587,2124,212,1927,1.0,2.5,103.0
8588,9216,144,2142,0.0,15.5,31.0
8589,9216,144,2142,0.0,21.5,31.0
8590,9216,144,2142,0.0,23.0,17.0
8591,4897,0,701,0.0,20.0,34.0
8592,4897,0,701,0.0,22.0,127.0
8593,4897,0,701,0.0,0.5,0.0
8594,4897,0,701,0.0,2.5,32.0
8595,4897,0,701,0.0,5.0,126.0
8596,5172,21,1112,1.0,22.5,32.0
8597,5172,21,1112,1.0,2.5,95.0
8598,5172,21,1112,1.0,5.5,62.0
8599,5172,21,1112,1.0,6.5,32.0
8600,3699,268,2884,0.0,16.0,31.0
8601,3699,268,2884,0.0,19.0,0.0
8602,408,16,1038,1.0,4.0,32.0
8603,4819,5,876,1.0,17.0,64.0
8604,4819,5,876,1.0,19.5,31.0
8605,4819,5,876,1.0,23.0,32.0
8606,4819,5,876,1.0,2.0,95.0
8607,4819,5,876,1.0,5.5,96.0
8608,4819,5,876,1.0,10.5,63.0
8609,2479,209,848,0.0,18.0,64.0
8610,2479,209,848,0.0,19.5,63.0
8611,4576,21,1486,0.0,22.5,64.0
8612,4576,21,1486,0.0,1.5,38.0
8613,4576,21,1486,0.0,4.0,30.0
8614,247,18,1521,1.0,18.5,32.0
8615,247,18,1521,1.0,20.5,62.0
8616,247,18,1521,1.0,22.5,124.0
8617,247,18,1521,1.0,0.5,31.0
8618,247,18,1521,1.0,2.5,0.0
8619,247,18,1521,1.0,4.5,63.0
8620,247,18,1521,1.0,6.0,63.0
8621,247,18,1521,1.0,7.5,31.0
8622,247,18,1521,1.0,8.5,32.0
